,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
27,Alabama,1408165.7,-1349508.843,93,FALSE,1,1.1,1,AL,AL, AL,43,alabama
28,Alabama,1408178.722,-1353748.148,94,FALSE,1,1.1,1,AL,AL, AL,43,alabama
29,Alabama,1415730.027,-1360826.255,95,FALSE,1,1.1,1,AL,AL, AL,43,alabama
30,Alabama,1416576.81,-1366233.441,96,FALSE,1,1.1,1,AL,AL, AL,43,alabama
31,Alabama,1418520.541,-1368832.874,97,FALSE,1,1.1,1,AL,AL, AL,43,alabama
32,Alabama,1418023.543,-1371749.567,98,FALSE,1,1.1,1,AL,AL, AL,43,alabama
33,Alabama,1417010.036,-1377683.464,99,FALSE,1,1.1,1,AL,AL, AL,43,alabama
34,Alabama,1418154.728,-1381646.117,100,FALSE,1,1.1,1,AL,AL, AL,43,alabama
35,Alabama,1416811.484,-1389585.661,101,FALSE,1,1.1,1,AL,AL, AL,43,alabama
36,Alabama,1417925.601,-1394027.041,102,FALSE,1,1.1,1,AL,AL, AL,43,alabama
37,Alabama,1418057.242,-1395465.964,103,FALSE,1,1.1,1,AL,AL, AL,43,alabama
38,Alabama,1418195.096,-1396973.666,104,FALSE,1,1.1,1,AL,AL, AL,43,alabama
39,Alabama,1417069.675,-1401268.967,105,FALSE,1,1.1,1,AL,AL, AL,43,alabama
40,Alabama,1418329.813,-1409159.575,106,FALSE,1,1.1,1,AL,AL, AL,43,alabama
41,Alabama,1426395.581,-1416539.523,107,FALSE,1,1.1,1,AL,AL, AL,43,alabama
42,Alabama,1428306.061,-1419882.579,108,FALSE,1,1.1,1,AL,AL, AL,43,alabama
43,Alabama,1429585.889,-1422121.17,109,FALSE,1,1.1,1,AL,AL, AL,43,alabama
44,Alabama,1431303.604,-1427762.052,110,FALSE,1,1.1,1,AL,AL, AL,43,alabama
45,Alabama,1428590.968,-1428245.054,111,FALSE,1,1.1,1,AL,AL, AL,43,alabama
46,Alabama,1417779.692,-1430139.754,112,FALSE,1,1.1,1,AL,AL, AL,43,alabama
47,Alabama,1400128.823,-1433336.938,113,FALSE,1,1.1,1,AL,AL, AL,43,alabama
48,Alabama,1385532.414,-1436023.309,114,FALSE,1,1.1,1,AL,AL, AL,43,alabama
49,Alabama,1384618.326,-1436190.62,115,FALSE,1,1.1,1,AL,AL, AL,43,alabama
50,Alabama,1376940.156,-1437591.717,116,FALSE,1,1.1,1,AL,AL, AL,43,alabama
51,Alabama,1360897.701,-1440494.433,117,FALSE,1,1.1,1,AL,AL, AL,43,alabama
52,Alabama,1347333.84,-1442962.015,118,FALSE,1,1.1,1,AL,AL, AL,43,alabama
53,Alabama,1333969.177,-1445135.16,119,FALSE,1,1.1,1,AL,AL, AL,43,alabama
135,Alabama,1319578.582,-1447449.553,120,FALSE,1,1.1,1,AL,AL, AL,43,alabama
136,Alabama,1302769.322,-1450119.4,121,FALSE,1,1.1,1,AL,AL, AL,43,alabama
137,Alabama,1300529.421,-1450467.748,122,FALSE,1,1.1,1,AL,AL, AL,43,alabama
138,Alabama,1283980.25,-1453021.648,123,FALSE,1,1.1,1,AL,AL, AL,43,alabama
139,Alabama,1272161.691,-1454766.051,124,FALSE,1,1.1,1,AL,AL, AL,43,alabama
140,Alabama,1262927.069,-1456116.735,125,FALSE,1,1.1,1,AL,AL, AL,43,alabama
141,Alabama,1258540.196,-1456754.584,126,FALSE,1,1.1,1,AL,AL, AL,43,alabama
142,Alabama,1249459.034,-1458116.921,127,FALSE,1,1.1,1,AL,AL, AL,43,alabama
143,Alabama,1227203.429,-1461349.382,128,FALSE,1,1.1,1,AL,AL, AL,43,alabama
144,Alabama,1227162.088,-1461355.811,129,FALSE,1,1.1,1,AL,AL, AL,43,alabama
145,Alabama,1213042.08,-1463539.031,130,FALSE,1,1.1,1,AL,AL, AL,43,alabama
146,Alabama,1202282.329,-1465171.523,131,FALSE,1,1.1,1,AL,AL, AL,43,alabama
147,Alabama,1193403.331,-1466532.246,132,FALSE,1,1.1,1,AL,AL, AL,43,alabama
148,Alabama,1185887.086,-1467642.935,133,FALSE,1,1.1,1,AL,AL, AL,43,alabama
149,Alabama,1185876.843,-1467644.444,134,FALSE,1,1.1,1,AL,AL, AL,43,alabama
150,Alabama,1187161.057,-1472595.179,135,FALSE,1,1.1,1,AL,AL, AL,43,alabama
151,Alabama,1184265.72,-1482582.606,136,FALSE,1,1.1,1,AL,AL, AL,43,alabama
152,Alabama,1194421.81,-1492100.411,137,FALSE,1,1.1,1,AL,AL, AL,43,alabama
153,Alabama,1196596.826,-1495045.842,138,FALSE,1,1.1,1,AL,AL, AL,43,alabama
154,Alabama,1204962.39,-1498919.042,139,FALSE,1,1.1,1,AL,AL, AL,43,alabama
155,Alabama,1209460.068,-1502220.227,140,FALSE,1,1.1,1,AL,AL, AL,43,alabama
156,Alabama,1210098.534,-1508029.748,141,FALSE,1,1.1,1,AL,AL, AL,43,alabama
157,Alabama,1207966.546,-1514393.548,142,FALSE,1,1.1,1,AL,AL, AL,43,alabama
158,Alabama,1207292.904,-1519271.924,143,FALSE,1,1.1,1,AL,AL, AL,43,alabama
159,Alabama,1210850.809,-1524357.921,144,FALSE,1,1.1,1,AL,AL, AL,43,alabama
120,Alabama,1215723.329,-1525946.552,145,FALSE,1,1.1,1,AL,AL, AL,43,alabama
121,Alabama,1209966.813,-1530532.665,146,FALSE,1,1.1,1,AL,AL, AL,43,alabama
122,Alabama,1208824.215,-1537303.115,147,FALSE,1,1.1,1,AL,AL, AL,43,alabama
123,Alabama,1203387.256,-1545209.92,148,FALSE,1,1.1,1,AL,AL, AL,43,alabama
124,Alabama,1190555.162,-1550501.902,149,FALSE,1,1.1,1,AL,AL, AL,43,alabama
125,Alabama,1175344.182,-1555068.305,150,FALSE,1,1.1,1,AL,AL, AL,43,alabama
126,Alabama,1168084.541,-1554878.268,151,FALSE,1,1.1,1,AL,AL, AL,43,alabama
127,Alabama,1175843.547,-1549250.249,152,FALSE,1,1.1,1,AL,AL, AL,43,alabama
128,Alabama,1176182.145,-1544245.369,153,FALSE,1,1.1,1,AL,AL, AL,43,alabama
129,Alabama,1168863.499,-1538670.955,154,FALSE,1,1.1,1,AL,AL, AL,43,alabama
130,Alabama,1163337.944,-1532454.057,155,FALSE,1,1.1,1,AL,AL, AL,43,alabama
131,Alabama,1160956.065,-1528189.483,156,FALSE,1,1.1,1,AL,AL, AL,43,alabama
132,Alabama,1163130.661,-1520790.767,157,FALSE,1,1.1,1,AL,AL, AL,43,alabama
133,Alabama,1161401.48,-1517125.922,158,FALSE,1,1.1,1,AL,AL, AL,43,alabama
134,Alabama,1158976.595,-1510009.837,159,FALSE,1,1.1,1,AL,AL, AL,43,alabama
162,Alabama,1151182.903,-1507504.35,160,FALSE,1,1.1,1,AL,AL, AL,43,alabama
163,Alabama,1146605.084,-1512617.464,161,FALSE,1,1.1,1,AL,AL, AL,43,alabama
164,Alabama,1147073.279,-1518869.791,162,FALSE,1,1.1,1,AL,AL, AL,43,alabama
165,Alabama,1146029.861,-1523700.167,163,FALSE,1,1.1,1,AL,AL, AL,43,alabama
166,Alabama,1144510.908,-1528979.799,164,FALSE,1,1.1,1,AL,AL, AL,43,alabama
167,Alabama,1145621.162,-1539877.147,165,FALSE,1,1.1,1,AL,AL, AL,43,alabama
168,Alabama,1143764.786,-1549187.222,166,FALSE,1,1.1,1,AL,AL, AL,43,alabama
169,Alabama,1138066.498,-1549917.047,167,FALSE,1,1.1,1,AL,AL, AL,43,alabama
170,Alabama,1132154.298,-1550986.914,168,FALSE,1,1.1,1,AL,AL, AL,43,alabama
171,Alabama,1126360.887,-1546205.007,169,FALSE,1,1.1,1,AL,AL, AL,43,alabama
172,Alabama,1121103.501,-1544790.612,170,FALSE,1,1.1,1,AL,AL, AL,43,alabama
160,Alabama,1118375.293,-1547232.743,171,FALSE,1,1.1,1,AL,AL, AL,43,alabama
161,Alabama,1115306.313,-1528250.148,172,FALSE,1,1.1,1,AL,AL, AL,43,alabama
175,Alabama,1112102.838,-1507666.814,173,FALSE,1,1.1,1,AL,AL, AL,43,alabama
176,Alabama,1112035.056,-1507249.11,174,FALSE,1,1.1,1,AL,AL, AL,43,alabama
173,Alabama,1107378.022,-1478570.239,175,FALSE,1,1.1,1,AL,AL, AL,43,alabama
174,Alabama,1105318.761,-1465901.62,176,FALSE,1,1.1,1,AL,AL, AL,43,alabama
179,Alabama,1099785.894,-1432384.178,177,FALSE,1,1.1,1,AL,AL, AL,43,alabama
180,Alabama,1099523.587,-1430794.169,178,FALSE,1,1.1,1,AL,AL, AL,43,alabama
177,Alabama,1096174.061,-1410500.32,179,FALSE,1,1.1,1,AL,AL, AL,43,alabama
178,Alabama,1094795.129,-1402167.586,180,FALSE,1,1.1,1,AL,AL, AL,43,alabama
181,Alabama,1093117.36,-1392033.033,181,FALSE,1,1.1,1,AL,AL, AL,43,alabama
182,Alabama,1091778.853,-1380694.983,182,FALSE,1,1.1,1,AL,AL, AL,43,alabama
359,Alaska,-1533713.978,-1824317.74,183,FALSE,1,2.1,2,AK,AK, AK,46,alaska
360,Alaska,-1530430.854,-1821089.575,184,FALSE,1,2.1,2,AK,AK, AK,46,alaska
361,Alaska,-1523876.609,-1818619.965,185,FALSE,1,2.1,2,AK,AK, AK,46,alaska
362,Alaska,-1516419.849,-1814483.561,186,FALSE,1,2.1,2,AK,AK, AK,46,alaska
183,Alaska,-1505861.033,-1807138.28,187,FALSE,1,2.1,2,AK,AK, AK,46,alaska
184,Alaska,-1491277.451,-1798707.507,188,FALSE,1,2.1,2,AK,AK, AK,46,alaska
188,Alaska,-1478951.965,-1792434.421,189,FALSE,1,2.1,2,AK,AK, AK,46,alaska
189,Alaska,-1467701.919,-1788318.839,190,FALSE,1,2.1,2,AK,AK, AK,46,alaska
190,Alaska,-1459926.868,-1786247.905,191,FALSE,1,2.1,2,AK,AK, AK,46,alaska
191,Alaska,-1459840.442,-1786252.26,192,FALSE,1,2.1,2,AK,AK, AK,46,alaska
192,Alaska,-1449498.487,-1786719.789,193,FALSE,1,2.1,2,AK,AK, AK,46,alaska
193,Alaska,-1445688.363,-1788795.364,194,FALSE,1,2.1,2,AK,AK, AK,46,alaska
194,Alaska,-1448213.035,-1791638.789,195,FALSE,1,2.1,2,AK,AK, AK,46,alaska
195,Alaska,-1449778.394,-1794676.529,196,FALSE,1,2.1,2,AK,AK, AK,46,alaska
196,Alaska,-1451355.651,-1796999.543,197,FALSE,1,2.1,2,AK,AK, AK,46,alaska
197,Alaska,-1451306.358,-1801200.592,198,FALSE,1,2.1,2,AK,AK, AK,46,alaska
185,Alaska,-1451420.706,-1803653.423,199,FALSE,1,2.1,2,AK,AK, AK,46,alaska
186,Alaska,-1453082.724,-1805294.429,200,FALSE,1,2.1,2,AK,AK, AK,46,alaska
187,Alaska,-1453088.903,-1807077.561,201,FALSE,1,2.1,2,AK,AK, AK,46,alaska
215,Alaska,-1451438.868,-1811891.718,202,FALSE,1,2.1,2,AK,AK, AK,46,alaska
216,Alaska,-1449633.974,-1814140.7,203,FALSE,1,2.1,2,AK,AK, AK,46,alaska
217,Alaska,-1445848.287,-1813136.342,204,FALSE,1,2.1,2,AK,AK, AK,46,alaska
218,Alaska,-1443572.795,-1813344.74,205,FALSE,1,2.1,2,AK,AK, AK,46,alaska
219,Alaska,-1439529.845,-1814984.056,206,FALSE,1,2.1,2,AK,AK, AK,46,alaska
220,Alaska,-1436709.279,-1814307.76,207,FALSE,1,2.1,2,AK,AK, AK,46,alaska
221,Alaska,-1432110.318,-1813960.377,208,FALSE,1,2.1,2,AK,AK, AK,46,alaska
